coach_name,team,start_date,end_date,team_std
Arsène Wenger,Arsenal,2015-07-01,2018-05-13,Arsenal
Unai Emery,Arsenal,2018-05-23,2019-11-29,Arsenal
Mikel Arteta,Arsenal,2019-12-22,,Arsenal
Tim Sherwood,Aston Villa,2015-07-01,2015-10-25,Aston Villa
Rémi Garde,Aston Villa,2015-11-02,2016-03-29,Aston Villa
Dean Smith,Aston Villa,2018-10-10,2021-11-07,Aston Villa
Steven Gerrard,Aston Villa,2021-11-11,2022-10-20,Aston Villa
Unai Emery,Aston Villa,2022-11-01,,Aston Villa
Eddie Howe,Bournemouth,2015-07-01,2020-08-01,Bournemouth
Scott Parker,Bournemouth,2021-06-28,2022-08-30,Bournemouth
Gary O'Neil,Bournemouth,2022-08-30,2023-06-19,Bournemouth
Andoni Iraola,Bournemouth,2023-06-19,,Bournemouth
Thomas Frank,Brentford,2018-10-16,2025-06-12,Brentford
Keith Andrews,Brentford,2025-06-27,,Brentford
Chris Hughton,Brighton & Hove Albion,2015-07-01,2019-05-13,Brighton & Hove Albion
Graham Potter,Brighton & Hove Albion,2019-05-20,2022-09-08,Brighton & Hove Albion
Roberto De Zerbi,Brighton & Hove Albion,2022-09-18,2024-05-19,Brighton & Hove Albion
Fabian Hürzeler,Brighton & Hove Albion,2024-07-02,,Brighton & Hove Albion
Sean Dyche,Burnley,2015-07-01,2022-04-15,Burnley
Vincent Kompany,Burnley,2022-06-14,2024-05-29,Burnley
Scott Parker,Burnley,2024-07-05,,Burnley
Neil Warnock,Cardiff City,2016-10-05,2019-11-11,Cardiff City
José Mourinho,Chelsea,2015-07-01,2015-12-17,Chelsea
Antonio Conte,Chelsea,2016-07-03,2018-07-13,Chelsea
Maurizio Sarri,Chelsea,2018-07-14,2019-06-16,Chelsea
Frank Lampard,Chelsea,2019-07-04,2021-01-25,Chelsea
Thomas Tuchel,Chelsea,2021-01-26,2022-09-07,Chelsea
Graham Potter,Chelsea,2022-09-08,2023-04-02,Chelsea
Mauricio Pochettino,Chelsea,2023-07-01,2024-05-21,Chelsea
Enzo Maresca,Chelsea,2024-07-01,2026-01-01,Chelsea
Liam Rosenior,Chelsea,2026-01-08,,Chelsea
Alan Pardew,Crystal Palace,2015-07-01,2016-12-22,Crystal Palace
Sam Allardyce,Crystal Palace,2016-12-23,2017-05-23,Crystal Palace
Frank de Boer,Crystal Palace,2017-06-26,2017-09-11,Crystal Palace
Roy Hodgson,Crystal Palace,2017-09-12,2021-05-24,Crystal Palace
Patrick Vieira,Crystal Palace,2021-07-04,2023-03-17,Crystal Palace
Roy Hodgson,Crystal Palace,2023-03-21,2024-02-19,Crystal Palace
Oliver Glasner,Crystal Palace,2024-02-19,,Crystal Palace
Roberto Martínez,Everton,2015-07-01,2016-05-12,Everton
Ronald Koeman,Everton,2016-06-14,2017-10-23,Everton
Sam Allardyce,Everton,2017-11-30,2018-05-16,Everton
Marco Silva,Everton,2018-05-31,2019-12-05,Everton
Carlo Ancelotti,Everton,2019-12-22,2021-06-01,Everton
Rafael Benítez,Everton,2021-06-30,2022-01-16,Everton
Frank Lampard,Everton,2022-01-31,2023-01-23,Everton
Sean Dyche,Everton,2023-01-30,2025-01-09,Everton
David Moyes,Everton,2025-01-11,,Everton
Slaviša Jokanović,Fulham,2015-12-27,2018-11-14,Fulham
Claudio Ranieri,Fulham,2018-11-14,2019-02-28,Fulham
Scott Parker,Fulham,2019-02-28,2021-06-28,Fulham
Marco Silva,Fulham,2021-07-01,,Fulham
David Wagner,Huddersfield Town,2015-11-09,2019-01-14,Huddersfield Town
Jan Siewert,Huddersfield Town,2019-01-21,2019-08-16,Huddersfield Town
Steve Bruce,Hull City,2015-07-01,2016-07-22,Hull City
Mike Phelan,Hull City,2016-07-22,2017-01-03,Hull City
Marco Silva,Hull City,2017-01-05,2017-05-25,Hull City
Kieran McKenna §,Ipswich Town,2021-12-16,,Ipswich Town
Marcelo Bielsa,Leeds United,2018-06-15,2022-02-27,Leeds United
Jesse Marsch,Leeds United,2022-02-28,2023-02-06,Leeds United
Javi Gracia,Leeds United,2023-02-21,2023-05-03,Leeds United
Sam Allardyce,Leeds United,2023-05-03,2023-06-02,Leeds United
Daniel Farke,Leeds United,2023-07-04,,Leeds United
Claudio Ranieri,Leicester City,2015-07-13,2017-02-23,Leicester City
Craig Shakespeare,Leicester City,2017-02-23,2017-10-17,Leicester City
Claude Puel,Leicester City,2017-10-25,2019-02-24,Leicester City
Brendan Rodgers,Leicester City,2019-02-27,2023-04-02,Leicester City
Dean Smith,Leicester City,2023-04-10,2023-06-16,Leicester City
Steve Cooper,Leicester City,2024-06-20,2024-11-24,Leicester City
Ruud van Nistelrooy,Leicester City,2024-12-01,2025-06-27,Leicester City
Brendan Rodgers,Liverpool,2015-07-01,2015-10-04,Liverpool
Jürgen Klopp,Liverpool,2015-10-08,2024-05-19,Liverpool
Arne Slot,Liverpool,2024-06-01,,Liverpool
Rob Edwards,Luton Town,2022-11-17,2025-01-09,Luton Town
Manuel Pellegrini,Manchester City,2015-07-01,2016-06-30,Manchester City
Pep Guardiola,Manchester City,2016-07-01,,Manchester City
Louis van Gaal,Manchester United,2015-07-01,2016-05-23,Manchester United
José Mourinho,Manchester United,2016-05-27,2018-12-18,Manchester United
Ole Gunnar Solskjær,Manchester United,2018-12-19,2021-11-21,Manchester United
Erik ten Hag,Manchester United,2022-06-01,2024-10-28,Manchester United
Ruben Amorim,Manchester United,2024-11-11,2026-01-05,Manchester United
Aitor Karanka,Middlesbrough,2015-07-01,2017-03-16,Middlesbrough
Steve McClaren,Newcastle United,2015-07-01,2016-03-11,Newcastle United
Rafael Benítez,Newcastle United,2016-03-11,2019-06-30,Newcastle United
Steve Bruce,Newcastle United,2019-07-17,2021-10-20,Newcastle United
Eddie Howe,Newcastle United,2021-11-08,,Newcastle United
Alex Neil,Norwich City,2015-07-01,2017-03-10,Norwich City
Daniel Farke,Norwich City,2017-05-25,2021-11-06,Norwich City
Dean Smith,Norwich City,2021-11-15,2022-12-27,Norwich City
Steve Cooper,Nottingham Forest,2021-09-21,2023-12-19,Nottingham Forest
Nuno Espírito Santo,Nottingham Forest,2023-12-20,2025-09-09,Nottingham Forest
Ange Postecoglou,Nottingham Forest,2025-09-09,2025-10-18,Nottingham Forest
Sean Dyche,Nottingham Forest,2025-10-21,,Nottingham Forest
Chris Ramsey,Queens Park Rangers,2015-07-01,2015-11-04,Queens Park Rangers
Chris Wilder,Sheffield United,2016-05-12,2021-03-13,Sheffield United
Paul Heckingbottom,Sheffield United,2021-11-25,2023-12-05,Sheffield United
Chris Wilder,Sheffield United,2023-12-05,2025-06-18,Sheffield United
Ronald Koeman,Southampton,2015-07-01,2016-06-14,Southampton
Claude Puel,Southampton,2016-06-30,2017-06-14,Southampton
Mauricio Pellegrino,Southampton,2017-06-23,2018-03-12,Southampton
Mark Hughes,Southampton,2018-03-14,2018-12-03,Southampton
Ralph Hasenhüttl,Southampton,2018-12-06,2022-11-07,Southampton
Nathan Jones,Southampton,2022-11-10,2023-02-12,Southampton
Rubén Sellés,Southampton,2023-02-12,2023-05-28,Southampton
Russell Martin,Southampton,2023-06-21,2024-12-15,Southampton
Ivan Jurić,Southampton,2024-12-23,2025-04-07,Southampton
Mark Hughes,Stoke City,2015-07-01,2018-01-06,Stoke City
Paul Lambert,Stoke City,2018-01-15,2018-05-18,Stoke City
Dick Advocaat,Sunderland,2015-07-01,2015-10-04,Sunderland
Sam Allardyce,Sunderland,2015-10-09,2016-07-22,Sunderland
David Moyes,Sunderland,2016-07-23,2017-05-22,Sunderland
Régis Le Bris,Sunderland,2024-07-01,,Sunderland
Garry Monk,Swansea City,2015-07-01,2015-12-09,Swansea City
Francesco Guidolin,Swansea City,2016-01-18,2016-10-03,Swansea City
Bob Bradley,Swansea City,2016-10-03,2016-12-27,Swansea City
Paul Clement,Swansea City,2017-01-03,2017-12-20,Swansea City
Carlos Carvalhal,Swansea City,2017-12-28,2018-05-18,Swansea City
Mauricio Pochettino,Tottenham Hotspur,2015-07-01,2019-11-19,Tottenham Hotspur
José Mourinho,Tottenham Hotspur,2019-11-20,2021-04-19,Tottenham Hotspur
Nuno Espírito Santo,Tottenham Hotspur,2021-06-30,2021-11-01,Tottenham Hotspur
Antonio Conte,Tottenham Hotspur,2021-11-02,2023-03-26,Tottenham Hotspur
Ange Postecoglou,Tottenham Hotspur,2023-06-06,2025-06-06,Tottenham Hotspur
Thomas Frank,Tottenham Hotspur,2025-06-12,,Tottenham Hotspur
Quique Sánchez Flores,Watford,2015-07-01,2016-05-15,Watford
Walter Mazzarri,Watford,2016-07-01,2017-05-21,Watford
Marco Silva,Watford,2017-05-27,2018-01-21,Watford
Javi Gracia,Watford,2018-01-21,2019-09-07,Watford
Quique Sánchez Flores,Watford,2019-09-07,2019-12-01,Watford
Nigel Pearson,Watford,2019-12-08,2020-07-19,Watford
Xisco Muñoz,Watford,2020-12-20,2021-10-03,Watford
Claudio Ranieri,Watford,2021-10-04,2022-01-24,Watford
Roy Hodgson,Watford,2022-01-25,2022-05-22,Watford
Tony Pulis,West Bromwich Albion,2015-07-01,2017-11-20,West Bromwich Albion
Alan Pardew,West Bromwich Albion,2017-11-29,2018-04-02,West Bromwich Albion
Darren Moore,West Bromwich Albion,2018-04-02,2019-03-09,West Bromwich Albion
Slaven Bilić,West Bromwich Albion,2019-06-13,2020-12-16,West Bromwich Albion
Sam Allardyce,West Bromwich Albion,2020-12-16,2021-05-23,West Bromwich Albion
Slaven Bilić,West Ham United,2015-07-01,2017-11-06,West Ham United
David Moyes,West Ham United,2017-11-07,2018-05-16,West Ham United
Manuel Pellegrini,West Ham United,2018-05-22,2019-12-28,West Ham United
David Moyes,West Ham United,2019-12-29,2024-05-19,West Ham United
Julen Lopetegui,West Ham United,2024-07-01,2025-01-08,West Ham United
Graham Potter,West Ham United,2025-01-09,2025-09-27,West Ham United
Nuno Espírito Santo,West Ham United,2025-09-27,,West Ham United
Nuno Espírito Santo,Wolverhampton Wanderers,2017-05-31,2021-05-23,Wolverhampton Wanderers
Bruno Lage,Wolverhampton Wanderers,2021-06-09,2022-10-02,Wolverhampton Wanderers
Julen Lopetegui,Wolverhampton Wanderers,2022-11-14,2023-08-08,Wolverhampton Wanderers
Gary O'Neil,Wolverhampton Wanderers,2023-08-09,2024-12-15,Wolverhampton Wanderers
Vítor Pereira,Wolverhampton Wanderers,2024-12-19,2025-11-02,Wolverhampton Wanderers
Rob Edwards,Wolverhampton Wanderers,2025-11-12,,Wolverhampton Wanderers
